90,89,40,54,delta
86,96,53,62,delta
75,81,43,50,delta
289,221,231,288,delta
5435,6073,3632,3748,delta
88,92,44,55,delta
286,250,253,264,delta
107,121,69,75,delta
5223,5745,3933,4023,delta
86,95,83,108,delta
296,210,232,291,delta
1037,1163,638,741,delta
174,205,131,144,delta
92,84,49,69,delta
382,281,320,247,gamma
93,95,66,46,gamma
55,66,46,31,gamma
87,60,55,47,gamma
157,171,123,77,gamma
53,62,23,36,gamma
84,61,57,47,gamma
43,90,49,31,gamma
107,106,69,48,gamma
77,107,63,41,gamma
60,65,44,26,gamma
50,71,25,28,gamma
176,222,155,155,gamma
60,65,44,26,gamma
5596,6531,4765,3100,gamma
159,163,110,87,gamma
196,219,150,113,gamma
48,67,31,22,gamma
87,101,59,38,gamma
928,1274,699,653,gamma
49,72,39,20,gamma
196,219,150,113,gamma
7967,9169,5993,4479,gamma
5656,6618,4362,3173,gamma
5649,6709,4388,3150,gamma
343,265,296,236,gamma
5649,6709,4388,3150,gamma
51,64,25,34,gamma
2802,4367,2579,1730,gamma
73,108,44,42,gamma
346,292,336,271,gamma
53,62,23,36,gamma
60,67,39,32,gamma
3350,4072,2681,1849,gamma
117,144,108,90,gamma
3340,3796,2918,1841,gamma
981,1227,677,577,gamma
5366,6870,4506,3277,gamma
177,216,153,135,gamma
55,78,32,33,gamma
5659,6618,4362,3173,gamma
8966,10286,7432,5002,gamma
106,105,68,48,gamma
93,95,66,46,gamma
4978,7220,4270,3064,gamma
86,106,59,34,gamma
87,60,55,47,gamma
66,69,34,23,gamma
133,163,115,75,gamma
86,106,59,34,gamma
3324,4004,2668,1860,gamma
48,83,42,28,gamma
3196,4096,2768,1886,gamma
893,1316,723,644,gamma
107,106,69,48,gamma
43,90,49,31,gamma
201,217,147,113,gamma
352,293,343,257,gamma
77,69,51,52,gamma
80,88,72,54,gamma
993,1238,684,574,gamma
3358,4000,2664,1834,gamma
5714,6667,4353,3156,gamma
89,89,60,44,gamma
5366,6870,4506,3277,gamma
184,203,142,104,gamma
70,67,39,19,gamma
60,67,39,32,gamma
53,69,43,33,gamma
70,65,39,21,gamma
40,61,29,32,gamma
191,210,151,119,gamma
981,1227,677,577,gamma
63,66,46,35,gamma
66,69,34,23,gamma
51,64,25,34,gamma
1300,1492,972,655,gamma
191,210,151,119,gamma
50,71,25,28,gamma
84,61,57,47,gamma
55,78,32,33,gamma
55,66,46,31,gamma
7339,10230,6230,4738,gamma
3324,4004,2668,1860,gamma
77,69,51,52,gamma
893,1316,723,644,gamma
89,89,60,44,gamma
87,101,59,38,gamma
3196,4096,2768,1886,gamma
117,146,93,61,gamma
346,292,336,271,gamma
87,61,53,48,gamma
54,60,24,36,gamma
127,209,126,81,gamma
386,273,318,253,gamma
48,70,42,32,gamma
176,222,155,155,gamma
382,281,320,247,gamma
373,280,325,252,gamma
3350,4072,2681,1849,gamma
373,280,325,252,gamma
85,102,63,53,gamma
1089,1281,717,594,gamma
201,287,170,125,gamma
73,65,58,62,gamma
70,65,39,21,gamma
81,93,50,55,gamma
1089,1281,717,594,gamma
192,203,180,112,gamma
